brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating
Avita,Cosmos,Intel,Celeron Dual,11th,4  GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,15.6,0,No,No,17490,23490,25,3.6
ASUS,EeeBook,Intel,Celeron Dual,11th,4  GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,15.6,1,No,No,22990,27990,17,0
ASUS,ExpertBook,Intel,Core i3,11th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,0,No,No,35990,42990,16,0
HP,x360,Intel,Core i3,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,No,56490,64923,12,0
HP,x360,Intel,Core i5,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,No,65390,76436,0,0
Lenovo,IdeaPad,Intel,Celeron Dual,11th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,31999,38999,17,4
HP,Celeron,Intel,Celeron Dual,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,32490,39288,17,4
Lenovo,IdeaPad,Intel,Celeron Dual,11th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,31799,36999,14,0
ASUS,VivoBook,Intel,Celeron Dual,11th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,0,No,No,29890,33990,12,4
ASUS,Celeron,Intel,Celeron Dual,11th,4  GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,23990,26990,11,3.8
HP,15q,Intel,Core i3,7th,4  GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,32955,87136,0,4.2
HP,250-G6,Intel,Core i5,7th,4  GB,DDR4,0 GB,1024 GB,Windows,32-bit,2,Casual,15.6,0,No,No,46200,87136,0,4.2
ASUS,IdeaPad,Intel,Core i3,11th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,34429,49990,31,4.1
Lenovo,IdeaPad,Intel,Core i3,10th,8  GB,DDR4,256 GB,0 GB,Windows,32-bit,0,ThinNlight,15.6,2,No,Yes,37990,57990,34,4.3
ASUS,VivoBook,Intel,Core i3,11th,4  GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,15.6,1,No,Yes,35990,49990,28,4.3
ASUS,VivoBook,Intel,Core i3,10th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,33980,46990,27,4.4
HP,IdeaPad,Intel,Core i3,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,39990,50085,20,4.2
